,Threshold,Chunk Size,Precision,Recall,F1_score,Accuracy
61,0.3,18,0.14147058823529413,0.75748031496063,0.23841387856257748,0.7324103099965158
62,0.3,19,0.14081215308209175,0.7590551181102362,0.23755544603252837,0.7305816788575403
63,0.3,20,0.1386986301369863,0.7653543307086614,0.2348393331722638,0.7242250087077668
64,0.3,21,0.13736107153035051,0.7590551181102362,0.2326254826254826,0.7230929989550675
65,0.3,22,0.13261351052048725,0.7543307086614173,0.22557099128796795,0.71360153256705
66,0.4,1,0.18990976210008204,0.7291338582677165,0.3013342011064107,0.8130442354580283
67,0.4,2,0.1834296724470135,0.7496062992125985,0.2947368421052632,0.8016370602577501
68,0.4,3,0.17568569310600446,0.7464566929133858,0.2844284428442844,0.792319749216301
69,0.4,4,0.17753891771682728,0.7543307086614173,0.28742874287428744,0.7931905259491454
70,0.4,5,0.17505551443375278,0.7448818897637796,0.28348816302067725,0.7917972831765929
71,0.4,6,0.16069057104913678,0.7622047244094489,0.2654236358650946,0.7667189132706367
72,0.4,7,0.14528639618138425,0.7669291338582677,0.24429395535490345,0.7376349703935905
73,0.4,8,0.1576158940397351,0.7496062992125985,0.2604651162790698,0.7646290491118076
74,0.4,9,0.15745672436751,0.7448818897637796,0.25996152789227805,0.7654998258446531
75,0.4,10,0.1555261416280609,0.7401574803149606,0.25704129067541703,0.7634099616858232
76,0.4,11,0.15796519410977242,0.7433070866141732,0.2605575489925476,0.7667189132706377
77,0.4,12,0.1500642673521851,0.7354330708661417,0.24926607953029087,0.7550505050505044
78,0.4,13,0.1407185628742515,0.7401574803149606,0.23647798742138365,0.7357192615813292
79,0.4,14,0.1350436989004793,0.7543307086614173,0.22907699665231948,0.7192615813305456
80,0.4,15,0.14246658566221143,0.7385826771653543,0.23885918003565065,0.7397248345524199
81,0.4,16,0.14111705288175877,0.7480314960629921,0.23744063984004,0.734326018808776
82,0.4,17,0.1449496490692707,0.7480314960629921,0.2428425357873211,0.7420759317311033
83,0.4,18,0.14315538323889054,0.7559055118110236,0.24072216649949849,0.7363288052943211
84,0.4,19,0.14272943980929678,0.7543307086614173,0.24004009020295666,0.735893416927899
85,0.4,20,0.14020319303338172,0.7606299212598425,0.23676470588235296,0.7288401253918491
86,0.4,21,0.13879210220673635,0.752755905511811,0.23437116940426575,0.728056426332288
87,0.4,22,0.13551136363636362,0.7511811023622047,0.2296028880866426,0.721264367816092
88,0.5,1,0.18990976210008204,0.7291338582677165,0.3013342011064107,0.8130442354580283
89,0.5,2,0.18353941267387944,0.7480314960629921,0.294756438101148,0.8020724486241729
90,0.5,3,0.17666790905702573,0.7464566929133858,0.2857142857142857,0.7936259143155696
91,0.5,4,0.18119787717968158,0.752755905511811,0.29208677054689886,0.7982410309996507
92,0.5,5,0.17782822550132427,0.7401574803149606,0.2867602196461257,0.796412399860675
93,0.5,6,0.1643835616438356,0.7559055118110236,0.270042194092827,0.7740334378265405
94,0.5,7,0.15039001560062404,0.7590551181102362,0.25104166666666666,0.749564611633577
95,0.5,8,0.16197666437886069,0.7433070866141732,0.2659904198365737,0.7731626610936956
96,0.5,9,0.16216216216216217,0.7370078740157481,0.2658335700085203,0.7749042145593866
97,0.5,10,0.1608560579910252,0.7338582677165354,0.2638731596828992,0.7735980494601179
98,0.5,11,0.1643835616438356,0.7370078740157481,0.2688110281447444,0.7783002438174854
99,0.5,12,0.15262110152621103,0.7244094488188977,0.2521238695533023,0.7623650296064082
100,0.5,13,0.14360716491661518,0.7322834645669292,0.24012393493415957,0.7437304075235097
101,0.5,14,0.1396862977212193,0.7433070866141732,0.2351768809167912,0.7326715430163699
102,0.5,15,0.14587271581600503,0.7291338582677165,0.24310842740876867,0.7489550679205846
103,0.5,16,0.14528069093152374,0.7417322834645669,0.24297136961568222,0.7444270289097863
104,0.5,17,0.1487000634115409,0.7385826771653543,0.24755872261810502,0.751741553465691
105,0.5,18,0.14690483523252232,0.7511811023622047,0.24574961360123648,0.7450365726227786
106,0.5,19,0.14662120272783633,0.7448818897637796,0.245014245014245,0.7461685823754783
107,0.5,20,0.14458194989435558,0.7543307086614173,0.24265450861195545,0.7396377568791352
108,0.5,21,0.14264219079145352,0.7464566929133858,0.2395149065184437,0.7378962034134442
109,0.5,22,0.1404293381037567,0.7417322834645669,0.2361494108799198,0.7346743295019155
110,0.6,1,0.18990976210008204,0.7291338582677165,0.3013342011064107,0.8130442354580283
111,0.6,2,0.18389469608981804,0.7480314960629921,0.2952144188937228,0.8025078369905958
112,0.6,3,0.17936024371667936,0.7417322834645669,0.2888684452621895,0.7980668756530823
113,0.6,4,0.18353941267387944,0.7480314960629921,0.294756438101148,0.8020724486241716
114,0.6,5,0.18160651920838183,0.7370078740157481,0.29140722291407223,0.8018112156043182
115,0.6,6,0.17014388489208634,0.7448818897637796,0.27701317715959006,0.7850052246603966
116,0.6,7,0.1562809099901088,0.7464566929133858,0.2584514721919302,0.7631487286659694
117,0.6,8,0.167933405718422,0.7307086614173228,0.2731018246027075,0.7849181469871118
118,0.6,9,0.16745886654478975,0.721259842519685,0.2718100890207715,0.7863113897596651
119,0.6,10,0.16746587974917004,0.7149606299212599,0.27136879856545126,0.7877046325322183
120,0.6,11,0.1728301886792453,0.721259842519685,0.2788432267884323,0.793712991988855
121,0.6,12,0.16291532690246516,0.7181102362204724,0.26557949912638323,0.780390107976314
122,0.6,13,0.15120501815780785,0.721259842519685,0.24999999999999997,0.7607105538140009
123,0.6,14,0.14826700898587933,0.7275590551181103,0.24633431085043989,0.7538314176245203
124,0.6,15,0.15507295554801492,0.7196850393700788,0.2551647124511446,0.7676767676767673
125,0.6,16,0.1532605097649785,0.7291338582677165,0.25328227571115974,0.762277951933123
126,0.6,17,0.15532994923857868,0.7228346456692913,0.25571030640668524,0.7673284569836287
127,0.6,18,0.15257531584062195,0.7417322834645669,0.2530897367006985,0.7579240682688952
128,0.6,19,0.1534147146156384,0.7322834645669292,0.25368248772504093,0.7617554858934162
129,0.6,20,0.15076824583866838,0.7417322834645669,0.25059856344772546,0.7547021943573662
130,0.6,21,0.14964675658317278,0.7338582677165354,0.24859962656708456,0.7547021943573667
131,0.6,22,0.14737851662404092,0.7259842519685039,0.24501727345203295,0.7526123301985371
132,0.7,1,0.19222554463904315,0.7086614173228346,0.3024193548387097,0.8192267502612326
133,0.7,2,0.18455445544554455,0.7338582677165354,0.2949367088607595,0.8059909439219788
134,0.7,3,0.1851704996034893,0.7354330708661417,0.29585049097244226,0.8064263322884003
135,0.7,4,0.190436933223413,0.7275590551181103,0.3018621365566808,0.8139150121908737
136,0.7,5,0.18662262592898432,0.7118110236220473,0.2957147530258423,0.8125217694183209
137,0.7,6,0.17533206831119544,0.7275590551181103,0.2825688073394495,0.7957157784743988
138,0.7,7,0.16672668347137198,0.7291338582677165,0.27139507620164127,0.783524904214559
139,0.7,8,0.17926734216679657,0.7244094488188977,0.28741018431740084,0.8013758272378959
140,0.7,9,0.17514792899408285,0.6992125984251969,0.2801261829652997,0.8012887495646114
141,0.7,10,0.17767106842737096,0.6992125984251969,0.28334396936821954,0.8044235458028559
142,0.7,11,0.1842434347644852,0.6960629921259842,0.2913645352669743,0.8127830024381745
143,0.7,12,0.17270624518118735,0.705511811023622,0.2774852895633323,0.7968477882270978
144,0.7,13,0.16376811594202897,0.7118110236220473,0.2662739322533137,0.7830895158481357
145,0.7,14,0.16135957066189624,0.710236220472441,0.2629737609329446,0.7798676419366068
146,0.7,15,0.16785848701543093,0.7023622047244095,0.2709599027946537,0.7910135841170318
147,0.7,16,0.16581259150805272,0.7133858267716535,0.2690822690822691,0.7857018460466721
148,0.7,17,0.16766467065868262,0.705511811023622,0.27094042939219837,0.7900557297109015
149,0.7,18,0.1597466572836031,0.7149606299212599,0.26114466494104116,0.7762974573319396
150,0.7,19,0.15925394548063126,0.6992125984251969,0.25942156003505695,0.7792580982236152
151,0.7,20,0.15956703910614525,0.7196850393700788,0.2612174907116319,0.7749042145593866
152,0.7,21,0.15830388692579506,0.705511811023622,0.2585858585858586,0.7762974573319396
153,0.7,22,0.1586676217765043,0.6976377952755906,0.2585351619492267,0.7787356321839085
154,0.8,1,0.19205869659041863,0.7007874015748031,0.30149051490514905,0.8204458376872167
155,0.8,2,0.1838529176658673,0.7244094488188977,0.2932738284985655,0.8069487983281092
156,0.8,3,0.18838241226300928,0.7354330708661417,0.2999357739242133,0.8101706722396372
157,0.8,4,0.1919451585261354,0.705511811023622,0.30178511283260356,0.8194879832810863
158,0.8,5,0.19306713470820536,0.6929133858267716,0.301990391214825,0.822884012539185
159,0.8,6,0.17924151696606785,0.7070866141732284,0.2859872611464968,0.804771856495994
